日期,平均氣溫(℃),平均相對溼度( %),平均風向(°),平均風速(ms),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度時間,最大六十分鐘降水量起始時間,最大十分鐘降水量起始時間,最高氣壓時間,最高氣溫(℃),最高氣溫時間,累積日照時數(hr),累積蒸發量(mm),累計雨量(mm)
2011-02-12,15.9,62,337.5,1.6,,12.5,2011-02-12 00:00:00,,,,,22.0,2011-02-12 00:00:00,5.3,1.2,0.0
2011-02-13,16.9,64,337.5,1.7,,11.9,2011-02-13 00:00:00,,,,,24.9,2011-02-13 00:00:00,7.7,2.2,0.0
2011-02-14,12.5,72,315.0,2.4,,10.0,2011-02-14 00:00:00,,,,,16.0,2011-02-14 00:00:00,0.3,0.2,2.0
2011-02-15,14.9,65,292.5,1.3,,9.9,2011-02-15 00:00:00,,,,,21.7,2011-02-15 00:00:00,7.8,1.6,0.0
2011-02-16,18.4,65,337.5,1.1,,13.4,2011-02-16 00:00:00,,,,,24.7,2011-02-16 00:00:00,9.2,2.0,0.0
2011-02-17,21.0,66,337.5,1.5,,14.8,2011-02-17 00:00:00,,,,,29.1,2011-02-17 00:00:00,10.3,2.9,0.0
2011-02-18,18.8,69,360.0,1.9,,16.5,2011-02-18 00:00:00,,,,,22.9,2011-02-18 00:00:00,2.4,1.4,0.0
2011-02-19,18.7,66,337.5,1.8,,14.9,2011-02-19 00:00:00,,,,,25.3,2011-02-19 00:00:00,7.2,2.2,0.0
2011-02-20,17.8,67,337.5,2.5,,14.6,2011-02-20 00:00:00,,,,,23.7,2011-02-20 00:00:00,9.1,2.6,0.0
2011-02-21,17.7,66,337.5,1.5,,14.5,2011-02-21 00:00:00,,,,,22.7,2011-02-21 00:00:00,7.1,2.1,0.0
2011-02-22,18.6,65,337.5,1.5,,14.0,2011-02-22 00:00:00,,,,,25.8,2011-02-22 00:00:00,10.5,2.6,0.0
2011-02-23,20.1,66,337.5,1.0,,15.5,2011-02-23 00:00:00,,,,,26.2,2011-02-23 00:00:00,10.4,2.4,0.0
2011-02-24,21.4,64,315.0,0.7,,16.3,2011-02-24 00:00:00,,,,,27.4,2011-02-24 00:00:00,9.1,2.4,0.0
2011-02-25,22.1,64,315.0,1.2,,17.3,2011-02-25 00:00:00,,,,,28.3,2011-02-25 00:00:00,10.0,3.3,0.0
2011-02-26,21.7,66,270.0,1.5,,17.6,2011-02-26 00:00:00,,,,,28.0,2011-02-26 00:00:00,10.6,3.1,0.0
2011-02-27,21.2,67,337.5,1.1,,17.6,2011-02-27 00:00:00,,,,,27.7,2011-02-27 00:00:00,10.6,2.5,0.0
2011-02-28,23.1,64,315.0,1.1,,17.3,2011-02-28 00:00:00,,,,,29.6,2011-02-28 00:00:00,11.2,2.4,0.0
2011-03-01,21.8,66,315.0,2.3,,16.8,2011-03-01 00:00:00,,,,,28.6,2011-03-01 00:00:00,8.4,3.7,0.0
2011-03-02,19.7,64,337.5,1.9,,15.6,2011-03-02 00:00:00,,,,,26.6,2011-03-02 00:00:00,7.6,2.3,0.0
2011-03-03,18.8,64,360.0,1.9,,14.4,2011-03-03 00:00:00,,,,,25.2,2011-03-03 00:00:00,4.5,1.5,0.0
2011-03-04,17.4,63,315.0,1.9,,13.0,2011-03-04 00:00:00,,,,,24.0,2011-03-04 00:00:00,7.1,2.1,0.0
2011-03-05,19.4,62,315.0,1.3,,13.4,2011-03-05 00:00:00,,,,,25.8,2011-03-05 00:00:00,9.0,2.9,0.0
2011-03-06,22.5,62,315.0,0.7,,17.1,2011-03-06 00:00:00,,,,,28.0,2011-03-06 00:00:00,5.2,1.5,0.0
2011-03-07,19.8,64,315.0,2.1,,15.6,2011-03-07 00:00:00,,,,,23.1,2011-03-07 00:00:00,3.9,2.0,0.5
2011-03-08,17.7,62,315.0,0.8,,15.0,2011-03-08 00:00:00,,,,,22.1,2011-03-08 00:00:00,0.7,0.5,0.0
2011-03-09,19.2,63,360.0,1.4,,15.9,2011-03-09 00:00:00,,,,,24.8,2011-03-09 00:00:00,4.9,2.6,0.0
2011-03-10,20.4,63,292.5,1.3,,16.8,2011-03-10 00:00:00,,,,,25.7,2011-03-10 00:00:00,6.0,2.5,0.0
2011-03-11,20.1,64,315.0,1.6,,16.5,2011-03-11 00:00:00,,,,,26.0,2011-03-11 00:00:00,8.9,3.2,0.0
2011-03-12,21.9,63,337.5,1.4,,17.4,2011-03-12 00:00:00,,,,,29.2,2011-03-12 00:00:00,10.4,3.2,0.0
2011-03-13,23.0,63,270.0,0.9,,16.7,2011-03-13 00:00:00,,,,,29.4,2011-03-13 00:00:00,10.4,3.4,0.0
2011-03-14,23.8,64,337.5,1.3,,18.5,2011-03-14 00:00:00,,,,,29.4,2011-03-14 00:00:00,10.0,3.0,0.0
2011-03-15,22.6,63,360.0,2.1,,15.6,2011-03-15 00:00:00,,,,,28.6,2011-03-15 00:00:00,7.3,3.3,0.0
2011-03-16,17.2,61,337.5,1.5,,13.9,2011-03-16 00:00:00,,,,,22.9,2011-03-16 00:00:00,3.0,1.4,0.0
2011-03-17,18.5,62,270.0,0.9,,15.1,2011-03-17 00:00:00,,,,,22.9,2011-03-17 00:00:00,3.1,1.2,0.0
2011-03-18,20.8,62,337.5,1.1,,17.5,2011-03-18 00:00:00,,,,,26.1,2011-03-18 00:00:00,4.9,2.3,0.0
2011-03-19,22.6,63,315.0,1.2,,18.0,2011-03-19 00:00:00,,,,,28.6,2011-03-19 00:00:00,9.8,3.1,0.0
2011-03-20,25.1,64,135.0,1.6,,19.6,2011-03-20 00:00:00,,,,,30.4,2011-03-20 00:00:00,10.2,4.1,0.0
2011-03-21,26.2,66,247.5,0.7,,21.9,2011-03-21 00:00:00,,,,,30.5,2011-03-21 00:00:00,9.1,3.0,0.0
2011-03-22,22.8,64,337.5,2.5,,16.6,2011-03-22 00:00:00,,,,,29.3,2011-03-22 00:00:00,5.9,3.3,0.0
2011-03-23,19.7,61,337.5,1.6,,15.9,2011-03-23 00:00:00,,,,,25.1,2011-03-23 00:00:00,5.8,2.7,0.0
2011-03-24,19.8,61,337.5,1.6,,16.7,2011-03-24 00:00:00,,,,,24.5,2011-03-24 00:00:00,4.1,2.0,0.0
2011-03-25,20.0,60,315.0,1.2,,16.0,2011-03-25 00:00:00,,,,,26.0,2011-03-25 00:00:00,8.0,3.3,0.0
2011-03-26,19.0,60,337.5,1.9,,15.5,2011-03-26 00:00:00,,,,,25.3,2011-03-26 00:00:00,5.6,2.5,0.0
2011-03-27,14.9,68,337.5,2.4,,12.2,2011-03-27 00:00:00,,,,,17.8,2011-03-27 00:00:00,0.1,0.8,1.0
2011-03-28,15.9,68,315.0,1.5,,11.8,2011-03-28 00:00:00,,,,,21.4,2011-03-28 00:00:00,2.8,0.7,6.5
2011-03-29,19.8,61,22.5,1.4,,15.1,2011-03-29 00:00:00,,,,,26.4,2011-03-29 00:00:00,7.0,2.8,0.0
2011-03-30,20.3,60,315.0,0.7,,17.0,2011-03-30 00:00:00,,,,,24.6,2011-03-30 00:00:00,1.3,1.2,0.5
2011-03-31,20.3,63,360.0,0.8,,17.5,2011-03-31 00:00:00,,,,,24.9,2011-03-31 00:00:00,1.7,1.2,0.0
2011-04-01,22.3,60,292.5,1.1,,17.3,2011-04-01 00:00:00,,,,,27.7,2011-04-01 00:00:00,9.7,4.4,0.0
2011-04-02,23.5,60,360.0,1.2,,19.1,2011-04-02 00:00:00,,,,,28.8,2011-04-02 00:00:00,10.4,4.3,0.0
2011-04-03,23.4,62,337.5,1.3,,19.4,2011-04-03 00:00:00,,,,,28.4,2011-04-03 00:00:00,10.2,4.0,0.0
2011-04-04,21.6,64,337.5,2.0,,16.7,2011-04-04 00:00:00,,,,,27.7,2011-04-04 00:00:00,8.8,4.1,0.0
2011-04-05,19.8,62,315.0,1.1,,16.2,2011-04-05 00:00:00,,,,,24.6,2011-04-05 00:00:00,2.9,1.9,0.0
2011-04-06,21.9,61,360.0,1.1,,17.9,2011-04-06 00:00:00,,,,,26.8,2011-04-06 00:00:00,7.1,3.6,0.0
2011-04-07,23.2,62,337.5,1.1,,18.5,2011-04-07 00:00:00,,,,,28.8,2011-04-07 00:00:00,10.3,4.0,0.0
2011-04-08,24.8,61,360.0,1.3,,18.6,2011-04-08 00:00:00,,,,,31.0,2011-04-08 00:00:00,9.1,4.5,0.0
2011-04-09,24.8,63,225.0,1.1,,20.5,2011-04-09 00:00:00,,,,,30.5,2011-04-09 00:00:00,8.1,3.9,0.0
2011-04-10,24.9,64,337.5,1.3,,21.7,2011-04-10 00:00:00,,,,,30.1,2011-04-10 00:00:00,7.9,3.6,0.0
2011-04-11,24.8,65,337.5,1.2,,20.3,2011-04-11 00:00:00,,,,,29.8,2011-04-11 00:00:00,6.5,3.3,0.0
2011-04-12,24.6,62,337.5,1.1,,21.2,2011-04-12 00:00:00,,,,,28.8,2011-04-12 00:00:00,6.9,3.2,0.0
2011-04-13,25.0,61,337.5,1.2,,22.2,2011-04-13 00:00:00,,,,,29.9,2011-04-13 00:00:00,7.5,4.1,0.0
2011-04-14,25.5,63,247.5,0.8,,22.3,2011-04-14 00:00:00,,,,,30.3,2011-04-14 00:00:00,5.9,2.7,0.0
2011-04-15,26.2,65,225.0,1.4,,20.3,2011-04-15 00:00:00,,,,,31.8,2011-04-15 00:00:00,10.8,5.0,0.0
2011-04-16,26.3,67,315.0,1.6,,22.7,2011-04-16 00:00:00,,,,,31.3,2011-04-16 00:00:00,8.2,4.4,0.0
2011-04-17,25.8,67,292.5,1.0,,21.7,2011-04-17 00:00:00,,,,,29.9,2011-04-17 00:00:00,2.7,1.2,14.0
2011-04-18,23.6,72,337.5,1.0,,21.3,2011-04-18 00:00:00,,,,,27.0,2011-04-18 00:00:00,0.0,0.5,7.0
2011-04-19,24.1,61,247.5,0.9,,20.0,2011-04-19 00:00:00,,,,,29.3,2011-04-19 00:00:00,5.3,2.3,0.0
2011-04-20,23.0,61,292.5,1.2,,17.5,2011-04-20 00:00:00,,,,,28.2,2011-04-20 00:00:00,10.3,4.0,0.0
2011-04-21,23.7,61,247.5,0.6,,18.6,2011-04-21 00:00:00,,,,,28.7,2011-04-21 00:00:00,9.0,3.2,0.0
2011-04-22,25.2,63,315.0,1.3,,20.3,2011-04-22 00:00:00,,,,,30.0,2011-04-22 00:00:00,7.8,3.0,0.0
2011-04-23,24.6,63,360.0,1.3,,21.4,2011-04-23 00:00:00,,,,,29.3,2011-04-23 00:00:00,6.2,3.4,0.0
2011-04-24,24.6,59,135.0,1.2,,21.5,2011-04-24 00:00:00,,,,,28.0,2011-04-24 00:00:00,9.1,4.7,0.0
2011-04-25,24.4,63,337.5,1.1,,19.1,2011-04-25 00:00:00,,,,,29.0,2011-04-25 00:00:00,10.1,3.7,0.0
2011-04-26,26.5,63,247.5,1.0,,22.2,2011-04-26 00:00:00,,,,,31.2,2011-04-26 00:00:00,9.8,4.4,0.0
2011-04-27,26.2,63,337.5,1.2,,22.6,2011-04-27 00:00:00,,,,,31.1,2011-04-27 00:00:00,8.5,3.9,0.0
2011-04-28,25.9,62,337.5,0.9,,21.5,2011-04-28 00:00:00,,,,,30.8,2011-04-28 00:00:00,3.9,3.0,0.0
2011-04-29,25.2,72,22.5,0.7,,23.4,2011-04-29 00:00:00,,,,,29.3,2011-04-29 00:00:00,0.1,0.2,5.0
2011-04-30,26.6,74,180.0,1.7,,22.3,2011-04-30 00:00:00,,,,,31.2,2011-04-30 00:00:00,2.6,1.9,0.0
2011-05-01,27.4,69,337.5,1.2,,23.3,2011-05-01 00:00:00,,,,,33.1,2011-05-01 00:00:00,5.2,3.6,0.0
2011-05-02,27.5,64,337.5,0.9,,23.3,2011-05-02 00:00:00,,,,,32.4,2011-05-02 00:00:00,5.8,2.7,0.0
2011-05-03,27.8,65,315.0,1.6,,23.5,2011-05-03 00:00:00,,,,,34.0,2011-05-03 00:00:00,9.4,6.2,0.0
2011-05-04,26.8,66,270.0,1.3,,22.1,2011-05-04 00:00:00,,,,,31.2,2011-05-04 00:00:00,8.0,4.2,0.0
2011-05-05,27.5,64,337.5,1.8,,23.4,2011-05-05 00:00:00,,,,,33.0,2011-05-05 00:00:00,10.7,6.1,0.0
2011-05-06,27.4,65,337.5,1.2,,22.4,2011-05-06 00:00:00,,,,,32.7,2011-05-06 00:00:00,9.6,5.1,0.0
2011-05-07,27.7,65,292.5,0.8,,22.8,2011-05-07 00:00:00,,,,,33.1,2011-05-07 00:00:00,8.1,5.0,0.0
2011-05-08,28.7,64,315.0,1.5,,24.1,2011-05-08 00:00:00,,,,,33.5,2011-05-08 00:00:00,9.2,5.8,0.0
2011-05-09,28.9,64,292.5,1.1,,24.7,2011-05-09 00:00:00,,,,,35.2,2011-05-09 00:00:00,6.4,4.3,0.0
2011-05-10,29.2,65,315.0,1.8,,25.0,2011-05-10 00:00:00,,,,,33.6,2011-05-10 00:00:00,11.0,6.0,0.0
2011-05-11,29.6,67,360.0,1.3,,25.3,2011-05-11 00:00:00,,,,,34.7,2011-05-11 00:00:00,9.2,4.9,0.0
2011-05-12,30.7,70,225.0,1.1,,27.1,2011-05-12 00:00:00,,,,,36.0,2011-05-12 00:00:00,8.8,5.3,0.0
2011-05-13,29.7,69,225.0,1.0,,26.7,2011-05-13 00:00:00,,,,,34.3,2011-05-13 00:00:00,7.2,4.9,0.0
2011-05-14,27.8,67,45.0,0.8,,25.3,2011-05-14 00:00:00,,,,,31.3,2011-05-14 00:00:00,1.7,2.5,0.0
2011-05-15,28.5,68,337.5,1.3,,24.2,2011-05-15 00:00:00,,,,,33.2,2011-05-15 00:00:00,7.8,4.7,0.0
2011-05-16,28.2,65,337.5,2.0,,24.0,2011-05-16 00:00:00,,,,,32.5,2011-05-16 00:00:00,8.2,4.4,0.0
2011-05-17,22.7,86,337.5,1.3,,21.0,2011-05-17 00:00:00,,,,,26.0,2011-05-17 00:00:00,0.0,0.0,77.5
2011-05-18,23.7,82,337.5,0.4,,21.0,2011-05-18 00:00:00,,,,,26.5,2011-05-18 00:00:00,0.0,0.0,3.5
2011-05-19,25.1,77,135.0,0.6,,23.2,2011-05-19 00:00:00,,,,,28.4,2011-05-19 00:00:00,1.5,0.3,2.0
2011-05-20,24.2,76,135.0,0.7,,22.6,2011-05-20 00:00:00,,,,,26.7,2011-05-20 00:00:00,0.9,0.1,22.0
2011-05-21,26.3,69,135.0,1.2,,22.4,2011-05-21 00:00:00,,,,,29.9,2011-05-21 00:00:00,6.7,1.8,0.5
2011-05-22,27.7,70,225.0,0.7,,24.0,2011-05-22 00:00:00,,,,,32.0,2011-05-22 00:00:00,3.9,2.1,0.5
2011-05-23,26.5,80,247.5,0.7,,24.2,2011-05-23 00:00:00,,,,,31.3,2011-05-23 00:00:00,1.1,0.2,14.5
2011-05-24,27.4,73,360.0,0.7,,24.5,2011-05-24 00:00:00,,,,,32.2,2011-05-24 00:00:00,3.3,1.3,0.5
2011-05-25,27.9,71,292.5,0.9,,23.7,2011-05-25 00:00:00,,,,,31.9,2011-05-25 00:00:00,6.6,2.6,1.0
2011-05-26,27.4,75,360.0,0.9,,24.4,2011-05-26 00:00:00,,,,,32.6,2011-05-26 00:00:00,3.8,1.7,20.0
2011-05-27,27.8,73,337.5,1.6,,24.1,2011-05-27 00:00:00,,,,,33.2,2011-05-27 00:00:00,6.7,3.6,0.5
2011-05-28,25.3,68,337.5,2.4,,22.6,2011-05-28 00:00:00,,,,,29.1,2011-05-28 00:00:00,3.7,2.7,0.0
2011-05-29,26.2,63,135.0,1.1,,22.2,2011-05-29 00:00:00,,,,,31.0,2011-05-29 00:00:00,8.6,4.2,0.0
2011-05-30,27.1,64,337.5,1.1,,23.8,2011-05-30 00:00:00,,,,,30.7,2011-05-30 00:00:00,9.1,4.3,0.0
2011-05-31,26.5,73,337.5,0.6,,24.5,2011-05-31 00:00:00,,,,,29.5,2011-05-31 00:00:00,0.4,0.6,3.0
2011-06-01,25.6,83,135.0,1.4,,23.5,2011-06-01 00:00:00,,,,,27.4,2011-06-01 00:00:00,0.0,0.1,38.5
2011-06-02,28.5,72,157.5,1.8,,25.8,2011-06-02 00:00:00,,,,,32.5,2011-06-02 00:00:00,4.1,2.5,1.0
2011-06-03,28.6,72,337.5,1.0,,25.6,2011-06-03 00:00:00,,,,,33.0,2011-06-03 00:00:00,6.8,3.1,0.0
2011-06-04,28.7,69,270.0,0.8,,23.6,2011-06-04 00:00:00,,,,,34.0,2011-06-04 00:00:00,11.5,4.6,0.0
2011-06-05,29.8,71,360.0,1.2,,25.0,2011-06-05 00:00:00,,,,,34.4,2011-06-05 00:00:00,11.8,5.8,0.0
2011-06-06,30.0,68,360.0,1.4,,25.2,2011-06-06 00:00:00,,,,,33.5,2011-06-06 00:00:00,10.9,6.5,0.0
2011-06-07,30.2,69,315.0,1.2,,25.1,2011-06-07 00:00:00,,,,,34.5,2011-06-07 00:00:00,11.5,6.2,0.0
2011-06-08,30.6,70,292.5,1.0,,25.7,2011-06-08 00:00:00,,,,,35.1,2011-06-08 00:00:00,10.7,4.3,0.0
2011-06-09,31.2,66,157.5,2.5,,26.4,2011-06-09 00:00:00,,,,,35.3,2011-06-09 00:00:00,12.1,8.6,0.0
2011-06-10,31.1,61,135.0,3.8,,27.4,2011-06-10 00:00:00,,,,,34.5,2011-06-10 00:00:00,11.6,9.6,0.0
2011-06-11,29.9,66,157.5,3.2,,26.8,2011-06-11 00:00:00,,,,,33.0,2011-06-11 00:00:00,8.7,5.8,0.0
2011-06-12,29.9,70,157.5,1.2,,25.8,2011-06-12 00:00:00,,,,,34.1,2011-06-12 00:00:00,8.2,4.1,10.0
2011-06-13,30.9,67,337.5,1.1,,26.1,2011-06-13 00:00:00,,,,,35.2,2011-06-13 00:00:00,11.7,6.1,0.0
2011-06-14,30.9,68,225.0,1.2,,26.9,2011-06-14 00:00:00,,,,,34.7,2011-06-14 00:00:00,10.6,5.7,0.0
2011-06-15,31.3,66,247.5,1.0,,27.0,2011-06-15 00:00:00,,,,,35.1,2011-06-15 00:00:00,10.0,5.8,0.0
2011-06-16,31.4,65,157.5,1.9,,27.0,2011-06-16 00:00:00,,,,,35.2,2011-06-16 00:00:00,11.0,7.4,0.0
2011-06-17,31.8,60,157.5,3.1,,29.0,2011-06-17 00:00:00,,,,,35.0,2011-06-17 00:00:00,12.0,8.4,0.0
2011-06-18,31.4,62,157.5,1.7,,26.0,2011-06-18 00:00:00,,,,,35.4,2011-06-18 00:00:00,11.6,7.7,0.0
2011-06-19,31.4,67,45.0,1.1,,26.4,2011-06-19 00:00:00,,,,,36.0,2011-06-19 00:00:00,10.9,6.9,0.0
2011-06-20,30.4,66,247.5,0.9,,26.1,2011-06-20 00:00:00,,,,,34.3,2011-06-20 00:00:00,6.9,3.4,0.0
2011-06-21,28.3,81,157.5,0.8,,25.6,2011-06-21 00:00:00,,,,,33.4,2011-06-21 00:00:00,1.3,0.6,16.0
2011-06-22,28.6,72,337.5,1.0,,25.6,2011-06-22 00:00:00,,,,,31.2,2011-06-22 00:00:00,0.0,1.7,0.0
2011-06-23,30.0,73,292.5,1.0,,25.3,2011-06-23 00:00:00,,,,,34.5,2011-06-23 00:00:00,6.8,4.3,0.0
2011-06-24,30.0,71,360.0,1.0,,26.6,2011-06-24 00:00:00,,,,,33.8,2011-06-24 00:00:00,6.6,4.3,0.0
2011-06-25,28.3,75,22.5,1.4,,25.9,2011-06-25 00:00:00,,,,,31.5,2011-06-25 00:00:00,0.2,0.9,2.5
2011-06-26,28.2,77,180.0,1.1,,25.4,2011-06-26 00:00:00,,,,,31.6,2011-06-26 00:00:00,0.3,2.0,22.5
2011-06-27,28.1,78,157.5,1.3,,24.5,2011-06-27 00:00:00,,,,,32.7,2011-06-27 00:00:00,5.3,2.3,63.5
2011-06-28,24.8,85,135.0,1.6,,23.1,2011-06-28 00:00:00,,,,,26.4,2011-06-28 00:00:00,0.1,0.0,178.0
2011-06-29,28.0,71,157.5,1.2,,23.5,2011-06-29 00:00:00,,,,,32.2,2011-06-29 00:00:00,2.9,2.1,0.5
2011-06-30,28.9,70,270.0,1.0,,24.1,2011-06-30 00:00:00,,,,,33.6,2011-06-30 00:00:00,10.7,4.9,0.0
2011-07-01,29.6,73,360.0,1.0,,25.5,2011-07-01 00:00:00,,,,,34.0,2011-07-01 00:00:00,6.4,3.3,0.0
2011-07-02,29.4,70,225.0,0.9,,25.2,2011-07-02 00:00:00,,,,,33.8,2011-07-02 00:00:00,10.0,3.6,0.0
2011-07-03,29.8,71,112.5,1.2,,25.7,2011-07-03 00:00:00,,,,,33.9,2011-07-03 00:00:00,7.3,3.8,0.0
2011-07-04,30.1,67,157.5,1.3,,27.1,2011-07-04 00:00:00,,,,,33.5,2011-07-04 00:00:00,8.5,4.5,0.0
2011-07-05,30.0,65,225.0,0.9,,25.6,2011-07-05 00:00:00,,,,,33.8,2011-07-05 00:00:00,9.6,4.4,0.0
2011-07-06,29.8,68,360.0,1.1,,25.4,2011-07-06 00:00:00,,,,,34.0,2011-07-06 00:00:00,9.6,3.6,0.0
2011-07-07,29.8,66,315.0,1.2,,25.9,2011-07-07 00:00:00,,,,,33.6,2011-07-07 00:00:00,10.7,4.9,0.0
2011-07-08,29.7,67,360.0,1.1,,25.0,2011-07-08 00:00:00,,,,,35.1,2011-07-08 00:00:00,7.9,4.0,0.0
