年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸
2019,苗栗縣,椪柑,253831,253831,639.13,639.13,46.96,18649.01,11919.142
2019,彰化縣,椪柑,3424,3424,7.38,7.38,37.93,17596.61,129.863
2019,南投縣,椪柑,17598,17598,41.93,41.93,33.12,13900.05,582.829
2019,雲林縣,椪柑,146254,146254,414.28,414.28,88.26,31157.55,12907.951
2019,嘉義縣,椪柑,644827,644827,1678.68,1678.68,63.39,24350.32,40876.4
2019,屏東縣,椪柑,0,0,0,0,0,0,0
2019,台東縣,椪柑,9785,9785,22.16,22.16,28.68,12662.82,280.608
2019,花蓮縣,椪柑,9671,9480,25.11,24.61,22.88,8812.76,216.882
2019,澎湖縣,椪柑,0,0,0,0,0,0,0
2019,基隆市,椪柑,0,0,0,0,0,0,0
2019,新竹市,椪柑,0,0,0,0,0,0,0
2019,嘉義市,椪柑,255,255,0.7,0.7,60,21857.14,15.3
2019,福建省,椪柑,SUM(D72:D73),SUM(E72:E73),SUM(F72:F73),SUM(G72:G73),"IF(E71=0,0,ROUND(J71/E71*1000,2))","IF(G71=0,0,ROUND(J71/G71*1000,2))",SUM(J72:J73)
2019,金門縣,椪柑,0,0,0,0,0,0,0
2019,連江縣,椪柑,0,0,0,0,0,0,0
2019,新北市,柳橙,3121,3019,5.59,5.41,17.57,9802.03,53.029
2019,台北市,柳橙,1105,1105,3.07,3.07,24.18,8703.58,26.72
2019,桃園市,柳橙,839,778,1.63,1.49,20.11,10497.99,15.642
2019,台中市,柳橙,10028,10028,22.07,22.07,38.39,17442.59,384.958
2019,台南市,柳橙,964344,963564,1763.51,1762.21,50.89,27827.88,49038.563
2019,高雄市,柳橙,5483,5479,14.57,14.56,34.3,12908.72,187.951
2019,臺灣省,柳橙,SUM(D81:D94),SUM(E81:E94),SUM(F81:F94),SUM(G81:G94),"IF(E80=0,0,ROUND(J80/E80*1000,2))","IF(G80=0,0,ROUND(J80/G80*1000,2))",SUM(J81:J94)
2019,宜蘭縣,柳橙,26883,26655,55.1,54.65,32.6,15901.37,869.01
2019,新竹縣,柳橙,33568,33568,75.39,75.39,46.35,20637.7,1555.876
2019,苗栗縣,柳橙,4628,4348,11.73,11.03,38.74,15272.89,168.46
2019,彰化縣,柳橙,13634,13634,27.99,27.99,47.71,23238.12,650.435
2019,南投縣,柳橙,317068,307359,539.15,522.54,40.43,23778.98,12425.469
2019,雲林縣,柳橙,630847,626221,1470.61,1461.45,92.55,39655.56,57954.621
2019,嘉義縣,柳橙,431534,423096,965.68,947.2,53.99,24117.68,22844.262
2019,屏東縣,柳橙,2302,2302,5.47,5.47,26.65,11216.09,61.352
2019,台東縣,柳橙,11716,10504,27.19,24.16,28.68,12467.22,301.208
2019,花蓮縣,柳橙,17122,16237,37.94,36.04,22.42,10100.17,364.01
2019,澎湖縣,柳橙,0,0,0,0,0,0,0
2019,基隆市,柳橙,0,0,0,0,0,0,0
2019,新竹市,柳橙,15,15,0.03,0.03,48,24000,0.72
2019,嘉義市,柳橙,21022,21022,45.7,45.7,35,16100,735.77
2019,福建省,柳橙,SUM(D96:D97),SUM(E96:E97),SUM(F96:F97),SUM(G96:G97),"IF(E95=0,0,ROUND(J95/E95*1000,2))","IF(G95=0,0,ROUND(J95/G95*1000,2))",SUM(J96:J97)
2019,金門縣,柳橙,40,40,0.04,0.04,9.1,9100,0.364
2019,連江縣,柳橙,0,0,0,0,0,0,0
2019,新北市,桶柑,27683,27046,65.54,63.64,28.24,12002.72,763.853
2019,台北市,桶柑,10589,10589,26.32,26.32,28.19,11342.1,298.524
2019,桃園市,桶柑,28091,23670,57.92,48.99,35.34,17075.32,836.52
2019,台中市,桶柑,231028,230578,519.27,518.27,38.32,17050.64,8836.835
2019,台南市,桶柑,714,714,1.5,1.5,21.47,10220,15.33
2019,高雄市,桶柑,185,185,0.41,0.41,20,9024.39,3.7
2019,臺灣省,桶柑,SUM(D105:D118),SUM(E105:E118),SUM(F105:F118),SUM(G105:G118),"IF(E104=0,0,ROUND(J104/E104*1000,2))","IF(G104=0,0,ROUND(J104/G104*1000,2))",SUM(J105:J118)
2019,宜蘭縣,桶柑,53525,53494,119.24,119.17,40.12,18009.13,2146.148
2019,新竹縣,桶柑,585088,584688,1405.82,1404.93,44.71,18605.13,26138.907
2019,苗栗縣,桶柑,257688,257688,680.91,680.91,46.56,17618.58,11996.669
2019,彰化縣,桶柑,270,270,0.55,0.55,20.7,10163.64,5.59
2019,南投縣,桶柑,3558,3498,8.65,8.5,34.23,14087.53,119.744
2019,雲林縣,桶柑,19,19,0.04,0.04,40,19000,0.76
2019,嘉義縣,桶柑,4320,4320,11.4,11.4,36.94,13998.95,159.588
2019,屏東縣,桶柑,0,0,0,0,0,0,0
2019,台東縣,桶柑,80527,80527,192.51,192.51,31.41,13140.14,2529.609
2019,花蓮縣,桶柑,7333,7162,16.79,16.4,24.1,10523.48,172.585
2019,澎湖縣,桶柑,0,0,0,0,0,0,0
2019,基隆市,桶柑,457,457,0.73,0.73,14,8764.38,6.398
2019,新竹市,桶柑,1003,1003,2.15,2.15,38.46,17942.33,38.576
2019,嘉義市,桶柑,0,0,0,0,0,0,0
2019,福建省,桶柑,SUM(D120:D121),SUM(E120:E121),SUM(F120:F121),SUM(G120:G121),"IF(E119=0,0,ROUND(J119/E119*1000,2))","IF(G119=0,0,ROUND(J119/G119*1000,2))",SUM(J120:J121)
2019,金門縣,桶柑,0,0,0,0,0,0,0
2019,連江縣,桶柑,0,0,0,0,0,0,0
2019,新北市,文旦柚,171721,167052,444.27,435.93,41.8,16017.1,6982.336
2019,台北市,文旦柚,3543,3543,13.19,13.19,28.97,7781.35,102.636
2019,桃園市,文旦柚,9875,9603,28.23,27.34,29.83,10478.13,286.472
2019,台中市,文旦柚,31449,30774,95.11,93.01,42.17,13952.18,1297.692
2019,台南市,文旦柚,277973,271625,1105.72,1078.39,90.05,22683.04,24461.161
2019,高雄市,文旦柚,5909,5909,18.89,18.89,29.81,9323.56,176.122
2019,臺灣省,文旦柚,SUM(D129:D142),SUM(E129:E142),SUM(F129:F142),SUM(G129:G142),"IF(E128=0,0,ROUND(J128/E128*1000,2))","IF(G128=0,0,ROUND(J128/G128*1000,2))",SUM(J129:J142)
2019,宜蘭縣,文旦柚,78352,72378,242.01,222.1,50.22,16366.4,3634.978
2019,新竹縣,文旦柚,20558,20468,70.68,70.38,36.68,10667.25,750.761
2019,苗栗縣,文旦柚,135195,135195,467.33,467.33,49.35,14276.09,6671.647
2019,彰化縣,文旦柚,16306,16306,43.92,43.92,43.81,16266.14,714.409
2019,南投縣,文旦柚,29621,29528,93.96,93.66,55.98,17648.53,1652.961
2019,雲林縣,文旦柚,77222,74410,237.18,228.66,65.27,21240.72,4856.902
2019,嘉義縣,文旦柚,58722,58542,171.9,171.3,40.8,13943.74,2388.562
2019,屏東縣,文旦柚,1095,1039,2.58,2.44,27.04,11512.3,28.09
2019,台東縣,文旦柚,36921,36921,114.69,114.69,43.06,13862.69,1589.912
2019,花蓮縣,文旦柚,205346,183167,1000.83,894.64,87.81,17977.31,16083.218
2019,澎湖縣,文旦柚,0,0,0,0,0,0,0
2019,基隆市,文旦柚,8388,8388,14.66,14.66,16.91,9672.85,141.804
2019,新竹市,文旦柚,2647,2647,8.43,8.43,39.56,12421.59,104.714
2019,嘉義市,文旦柚,865,865,3.5,3.5,43.09,10650,37.275
2019,福建省,文旦柚,SUM(D144:D145),SUM(E144:E145),SUM(F144:F145),SUM(G144:G145),"IF(E143=0,0,ROUND(J143/E143*1000,2))","IF(G143=0,0,ROUND(J143/G143*1000,2))",SUM(J144:J145)
2019,金門縣,文旦柚,88,88,0.11,0.11,9.13,7300,0.803
2019,連江縣,文旦柚,0,0,0,0,0,0,0
2019,新北市,斗柚,365,365,0.93,0.93,60,23548.39,21.9
2019,台北市,斗柚,800,800,2.5,2.5,30.05,9616,24.04
2019,桃園市,斗柚,0,0,0,0,0,0,0
2019,台中市,斗柚,715,715,2.05,2.05,38.11,13290.73,27.246
2019,台南市,斗柚,0,0,0,0,0,0,0
2019,高雄市,斗柚,0,0,0,0,0,0,0
2019,臺灣省,斗柚,SUM(D153:D166),SUM(E153:E166),SUM(F153:F166),SUM(G153:G166),"IF(E152=0,0,ROUND(J152/E152*1000,2))","IF(G152=0,0,ROUND(J152/G152*1000,2))",SUM(J153:J166)
2019,宜蘭縣,斗柚,1076,1076,2.8,2.8,42.75,16429.64,46.003
2019,新竹縣,斗柚,1407,1407,4.69,4.69,34.33,10298.51,48.3
2019,苗栗縣,斗柚,2340,2340,6.14,6.14,44.83,17086.81,104.913
2019,彰化縣,斗柚,38,38,0.15,0.15,49,12413.33,1.862
2019,南投縣,斗柚,132,132,0.4,0.4,33,10890,4.356
2019,雲林縣,斗柚,0,0,0,0,0,0,0
2019,嘉義縣,斗柚,3301,3301,9.5,9.5,36.54,12695.16,120.604
2019,屏東縣,斗柚,0,0,0,0,0,0,0
2019,台東縣,斗柚,3844,3844,12.4,12.4,33,10230,126.852
2019,花蓮縣,斗柚,3024,2899,11.71,11.21,38.57,9973.6,111.804
2019,澎湖縣,斗柚,0,0,0,0,0,0,0
2019,基隆市,斗柚,120,120,0.26,0.26,16,7384.62,1.92
2019,新竹市,斗柚,248,248,0.8,0.8,35.7,11067.5,8.854
2019,嘉義市,斗柚,0,0,0,0,0,0,0
2019,福建省,斗柚,SUM(D168:D169),SUM(E168:E169),SUM(F168:F169),SUM(G168:G169),"IF(E167=0,0,ROUND(J167/E167*1000,2))","IF(G167=0,0,ROUND(J167/G167*1000,2))",SUM(J168:J169)
2019,金門縣,斗柚,0,0,0,0,0,0,0
2019,連江縣,斗柚,0,0,0,0,0,0,0
2019,新北市,白柚,2482,2336,5.3,5,32.36,15117.6,75.588
2019,台北市,白柚,1334,1334,4.82,4.82,35.66,9869.09,47.569
2019,桃園市,白柚,369,300,1.23,1,40,12000,12
2019,台中市,白柚,2005,1909,6.43,6.13,32.98,10271.45,62.964
2019,台南市,白柚,79124,78848,281.84,280.79,69.11,19406.95,5449.278
2019,高雄市,白柚,2738,2738,8.95,8.95,31.7,9699.22,86.808
2019,臺灣省,白柚,SUM(D177:D190),SUM(E177:E190),SUM(F177:F190),SUM(G177:G190),"IF(E176=0,0,ROUND(J176/E176*1000,2))","IF(G176=0,0,ROUND(J176/G176*1000,2))",SUM(J177:J190)
2019,宜蘭縣,白柚,1938,1938,5.11,5.11,43.99,16681.6,85.243
2019,新竹縣,白柚,150,150,0.5,0.5,55,16500,8.25
2019,苗栗縣,白柚,12396,12396,44.21,44.21,58.25,16333.45,722.102
2019,彰化縣,白柚,22143,22143,84.97,84.97,48.94,12753.64,1083.677
2019,南投縣,白柚,9305,9305,32.58,32.58,44.06,12585.02,410.02
2019,雲林縣,白柚,13375,13375,48.51,48.51,56.84,15672.54,760.275
2019,嘉義縣,白柚,21798,21798,68.59,68.59,45.51,14464.11,992.093
2019,屏東縣,白柚,1539,1539,3.18,3.18,24.71,11959.75,38.032
2019,台東縣,白柚,24259,24259,78.4,78.4,36.27,11221.77,879.787
2019,花蓮縣,白柚,6025,5650,23.79,22.29,41.53,10527.99,234.669
2019,澎湖縣,白柚,0,0,0,0,0,0,0
2019,基隆市,白柚,0,0,0,0,0,0,0
2019,新竹市,白柚,423,423,1.3,1.3,35.83,11659.23,15.157
2019,嘉義市,白柚,4536,4536,13.83,13.83,42.79,14032.97,194.076
2019,福建省,白柚,SUM(D192:D193),SUM(E192:E193),SUM(F192:F193),SUM(G192:G193),"IF(E191=0,0,ROUND(J191/E191*1000,2))","IF(G191=0,0,ROUND(J191/G191*1000,2))",SUM(J192:J193)
2019,金門縣,白柚,32,32,0.04,0.04,12,9600,0.384
2019,連江縣,白柚,0,0,0,0,0,0,0
2019,新北市,溫州蜜柑,0,0,0,0,0,0,0
2019,台北市,溫州蜜柑,0,0,0,0,0,0,0
2019,桃園市,溫州蜜柑,0,0,0,0,0,0,0
2019,台中市,溫州蜜柑,2022,2022,4.58,4.58,28.54,12601.31,57.714
2019,台南市,溫州蜜柑,270,270,0.6,0.6,50,22500,13.5
2019,高雄市,溫州蜜柑,0,0,0,0,0,0,0
2019,臺灣省,溫州蜜柑,SUM(D201:D214),SUM(E201:E214),SUM(F201:F214),SUM(G201:G214),"IF(E200=0,0,ROUND(J200/E200*1000,2))","IF(G200=0,0,ROUND(J200/G200*1000,2))",SUM(J201:J214)
2019,宜蘭縣,溫州蜜柑,665,665,1.37,1.37,26.28,12757.66,17.478
2019,新竹縣,溫州蜜柑,0,0,0,0,0,0,0
2019,苗栗縣,溫州蜜柑,341,341,1.1,1.1,28.17,8731.82,9.605
2019,彰化縣,溫州蜜柑,122,122,0.27,0.27,25,11296.3,3.05
2019,南投縣,溫州蜜柑,0,0,0,0,0,0,0
2019,雲林縣,溫州蜜柑,0,0,0,0,0,0,0
2019,嘉義縣,溫州蜜柑,317,317,0.69,0.69,28,12863.77,8.876
2019,屏東縣,溫州蜜柑,0,0,0,0,0,0,0
2019,台東縣,溫州蜜柑,1160,1160,1.92,1.92,27.6,16674.48,32.015
2019,花蓮縣,溫州蜜柑,0,0,0,0,0,0,0
2019,澎湖縣,溫州蜜柑,0,0,0,0,0,0,0
2019,基隆市,溫州蜜柑,0,0,0,0,0,0,0
2019,新竹市,溫州蜜柑,0,0,0,0,0,0,0
2019,嘉義市,溫州蜜柑,0,0,0,0,0,0,0
2019,福建省,溫州蜜柑,SUM(D216:D217),SUM(E216:E217),SUM(F216:F217),SUM(G216:G217),"IF(E215=0,0,ROUND(J215/E215*1000,2))","IF(G215=0,0,ROUND(J215/G215*1000,2))",SUM(J216:J217)
2019,金門縣,溫州蜜柑,0,0,0,0,0,0,0
2019,連江縣,溫州蜜柑,0,0,0,0,0,0,0
2019,新北市,晚崙西亞橙,0,0,0,0,0,0,0
2019,台北市,晚崙西亞橙,0,0,0,0,0,0,0
2019,桃園市,晚崙西亞橙,0,0,0,0,0,0,0
2019,台中市,晚崙西亞橙,0,0,0,0,0,0,0
2019,台南市,晚崙西亞橙,0,0,0,0,0,0,0
2019,高雄市,晚崙西亞橙,0,0,0,0,0,0,0
2019,臺灣省,晚崙西亞橙,SUM(D225:D238),SUM(E225:E238),SUM(F225:F238),SUM(G225:G238),"IF(E224=0,0,ROUND(J224/E224*1000,2))","IF(G224=0,0,ROUND(J224/G224*1000,2))",SUM(J225:J238)
2019,宜蘭縣,晚崙西亞橙,0,0,0,0,0,0,0
2019,新竹縣,晚崙西亞橙,0,0,0,0,0,0,0
2019,苗栗縣,晚崙西亞橙,0,0,0,0,0,0,0
2019,彰化縣,晚崙西亞橙,0,0,0,0,0,0,0
2019,南投縣,晚崙西亞橙,0,0,0,0,0,0,0
2019,雲林縣,晚崙西亞橙,0,0,0,0,0,0,0
2019,嘉義縣,晚崙西亞橙,0,0,0,0,0,0,0
2019,屏東縣,晚崙西亞橙,0,0,0,0,0,0,0
2019,台東縣,晚崙西亞橙,34782,34425,80.94,80.14,39.29,16875.63,1352.413
2019,花蓮縣,晚崙西亞橙,1652,1652,3.73,3.73,26.51,11740.75,43.793
2019,澎湖縣,晚崙西亞橙,0,0,0,0,0,0,0
2019,基隆市,晚崙西亞橙,0,0,0,0,0,0,0
2019,新竹市,晚崙西亞橙,0,0,0,0,0,0,0
2019,嘉義市,晚崙西亞橙,0,0,0,0,0,0,0
2019,福建省,晚崙西亞橙,SUM(D240:D241),SUM(E240:E241),SUM(F240:F241),SUM(G240:G241),"IF(E239=0,0,ROUND(J239/E239*1000,2))","IF(G239=0,0,ROUND(J239/G239*1000,2))",SUM(J240:J241)
2019,金門縣,晚崙西亞橙,0,0,0,0,0,0,0
2019,連江縣,晚崙西亞橙,0,0,0,0,0,0,0
2019,新北市,檸檬,441,78,0.89,0.13,20.22,12130.77,1.577
2019,台北市,檸檬,210,210,0.7,0.7,17,5100,3.57
2019,桃園市,檸檬,3104,2700,6.71,5.82,19.04,8834.19,51.415
2019,台中市,檸檬,20342,20187,47.47,47.12,28.74,12311.42,580.114
2019,台南市,檸檬,29435,29319,57.35,57.14,25.27,12963.83,740.753
2019,高雄市,檸檬,136686,136147,256.53,255.42,25.34,13508.28,3450.284
2019,臺灣省,檸檬,SUM(D249:D262),SUM(E249:E262),SUM(F249:F262),SUM(G249:G262),"IF(E248=0,0,ROUND(J248/E248*1000,2))","IF(G248=0,0,ROUND(J248/G248*1000,2))",SUM(J249:J262)
2019,宜蘭縣,檸檬,4438,4238,8.66,8.26,30.26,15524.82,128.235
2019,新竹縣,檸檬,1607,1607,3.5,3.5,28.45,13062.86,45.72
2019,苗栗縣,檸檬,984,984,3.08,3.08,29.17,9320.78,28.708
2019,彰化縣,檸檬,33885,33513,63.23,62.64,23.67,12665.39,793.36
2019,南投縣,檸檬,74824,74180,177.46,175.96,34.39,14498.2,2551.104
2019,雲林縣,檸檬,14235,14109,31.06,30.82,28.44,13017.36,401.195
2019,嘉義縣,檸檬,47463,40555,98.35,84.65,31.59,15133.77,1281.074
2019,屏東縣,檸檬,944434,898571,1898.56,1807.11,38.27,19027.44,34384.676
2019,台東縣,檸檬,53325,53325,110.86,110.86,22.71,10921.5,1210.757
2019,花蓮縣,檸檬,27597,20472,61.92,45.61,20.62,9255.51,422.144
2019,澎湖縣,檸檬,52,40,0.08,0.05,20,16000,0.8
2019,基隆市,檸檬,0,0,0,0,0,0,0
2019,新竹市,檸檬,0,0,0,0,0,0,0
2019,嘉義市,檸檬,858,858,1.88,1.88,32.04,14623.4,27.492
2019,福建省,檸檬,SUM(D264:D265),SUM(E264:E265),SUM(F264:F265),SUM(G264:G265),"IF(E263=0,0,ROUND(J263/E263*1000,2))","IF(G263=0,0,ROUND(J263/G263*1000,2))",SUM(J264:J265)
2019,金門縣,檸檬,170,170,0.17,0.17,11.89,11894.12,2.022
2019,連江縣,檸檬,0,0,0,0,0,0,0
2019,新北市,葡萄柚,3000,2988,6.14,6.11,23.9,11689.53,71.423
2019,台北市,葡萄柚,533,533,1.6,1.6,15.65,5212.5,8.34
2019,桃園市,葡萄柚,0,0,0,0,0,0,0
2019,台中市,葡萄柚,905,905,2.29,2.29,29.77,11766.38,26.945
2019,台南市,葡萄柚,10755,10755,21.52,21.52,32.34,16161.9,347.804
2019,高雄市,葡萄柚,1217,1213,2.85,2.84,24.03,10263.38,29.148
2019,臺灣省,葡萄柚,SUM(D273:D286),SUM(E273:E286),SUM(F273:F286),SUM(G273:G286),"IF(E272=0,0,ROUND(J272/E272*1000,2))","IF(G272=0,0,ROUND(J272/G272*1000,2))",SUM(J273:J286)
2019,宜蘭縣,葡萄柚,1222,1222,2.94,2.94,40.95,17019.73,50.038
2019,新竹縣,葡萄柚,1951,1951,5.94,5.94,41.72,13701.68,81.388
2019,苗栗縣,葡萄柚,795,795,2.54,2.54,41.42,12965.35,32.932
2019,彰化縣,葡萄柚,1489,1489,2.95,2.95,24.95,12592.88,37.149
2019,南投縣,葡萄柚,1842,1842,4,4,31.96,14717.25,58.869
2019,雲林縣,葡萄柚,37644,37022,95.98,94.76,58.24,22753.68,2156.139
2019,嘉義縣,葡萄柚,109644,109112,272.03,270.63,40.33,16261.49,4400.846
2019,屏東縣,葡萄柚,4748,4748,11.87,11.87,30.5,12200.08,144.815
2019,台東縣,葡萄柚,7309,7309,20.08,20.08,31.22,11363.7,228.183
2019,花蓮縣,葡萄柚,24684,19201,61.88,48.34,26.22,10414.46,503.435
2019,澎湖縣,葡萄柚,0,0,0,0,0,0,0
2019,基隆市,葡萄柚,0,0,0,0,0,0,0
2019,新竹市,葡萄柚,1182,1182,2.8,2.8,35,14775,41.37
2019,嘉義市,葡萄柚,12121,12121,22.2,22.2,30,16379.73,363.63
2019,福建省,葡萄柚,SUM(D288:D289),SUM(E288:E289),SUM(F288:F289),SUM(G288:G289),"IF(E287=0,0,ROUND(J287/E287*1000,2))","IF(G287=0,0,ROUND(J287/G287*1000,2))",SUM(J288:J289)
2019,金門縣,葡萄柚,0,0,0,0,0,0,0
2019,連江縣,葡萄柚,0,0,0,0,0,0,0
2019,新北市,其他雜柑類,1239,1032,3.57,3.03,22.27,7584.16,22.98
2019,台北市,其他雜柑類,514,514,1.52,1.52,26.29,8891.45,13.515
2019,桃園市,其他雜柑類,1965,1356,3.97,3.27,18.43,7640.67,24.985
2019,台中市,其他雜柑類,229461,210253,572.86,524.88,54.87,21979.54,11536.621
2019,台南市,其他雜柑類,30182,30024,61.24,60.89,22.83,11257.07,685.443
2019,高雄市,其他雜柑類,20564,20383,49.54,49.03,24.21,10063.74,493.425
2019,臺灣省,其他雜柑類,SUM(D297:D310),SUM(E297:E310),SUM(F297:F310),SUM(G297:G310),"IF(E296=0,0,ROUND(J296/E296*1000,2))","IF(G296=0,0,ROUND(J296/G296*1000,2))",SUM(J297:J310)
2019,宜蘭縣,其他雜柑類,157236,155236,332.25,328.32,34.75,16431.04,5394.64
2019,新竹縣,其他雜柑類,267246,259218,614.54,596.7,42.81,18597.23,11096.967
2019,苗栗縣,其他雜柑類,154023,148947,377.08,364.16,42.6,17422.6,6344.614
2019,彰化縣,其他雜柑類,45366,45366,91.92,91.92,25.97,12816.97,1178.136
2019,南投縣,其他雜柑類,76262,76058,175.69,175.29,34.06,14779.43,2590.687
2019,雲林縣,其他雜柑類,195621,192281,467.1,460.64,45.29,18905.3,8708.537
2019,嘉義縣,其他雜柑類,148463,147158,339.63,336.23,33.38,14610.28,4912.413
2019,屏東縣,其他雜柑類,96784,95092,164.65,161.65,29.36,17272.86,2792.158
2019,台東縣,其他雜柑類,82388,82388,201.32,201.32,27.99,11452.81,2305.68
2019,花蓮縣,其他雜柑類,66649,54004,212,169.51,28.89,9203.49,1560.083
2019,澎湖縣,其他雜柑類,0,0,0,0,0,0,0
2019,基隆市,其他雜柑類,17,17,0.08,0.08,14,2975,0.238
2019,新竹市,其他雜柑類,760,184,1.6,0.4,28.2,12972.5,5.189
2019,嘉義市,其他雜柑類,0,0,0,0,0,0,0
